employee_id,name,salary,Category
E171,Aman,35961.00,Medium Salary
E172,Shreya,66806.00,Low Salary
E173,Shreya,45124.00,Low Salary
E174,Aditya,96100.00,High Salary
E175,Isha,39779.00,Medium Salary
E176,Riya,111873.00,High Salary
E177,Vivek,38728.00,Medium Salary
E178,Deepak,102078.00,High Salary
E179,Roshan,35250.00,Medium Salary
E180,Vivek,83255.00,High Salary
E181,Simran,43846.00,Low Salary
E182,Aditya,57301.00,Low Salary
E183,Roshan,100820.00,High Salary
E184,Sneha,25245.00,Medium Salary
E185,Aditya,46751.00,Low Salary
E186,Sneha,22992.00,Medium Salary
E187,Isha,50030.00,Low Salary
E188,Priya,118066.00,High Salary
E189,Harsh,106743.00,High Salary
E190,Aditya,68937.00,Low Salary
E191,Isha,30482.00,Medium Salary
E192,Deepak,45730.00,Low Salary
E193,Shreya,37534.00,Medium Salary
E194,Vivek,29672.00,Medium Salary
E195,Shreya,83282.00,High Salary
E196,Deepak,43474.00,Low Salary
E197,Kunal,46055.00,Low Salary
E198,Simran,43082.00,Low Salary
E199,Vivek,34368.00,Medium Salary
E200,Rahul,85743.00,High Salary
