employee_id,name,salary,performance_grade
E189,Harsh,106743.00,A
E190,Aditya,68937.00,C
E191,Isha,30482.00,D
E192,Deepak,45730.00,D
E193,Shreya,37534.00,D
E194,Vivek,29672.00,D
E195,Shreya,83282.00,B
E196,Deepak,43474.00,D
E197,Kunal,46055.00,D
E198,Simran,43082.00,D
E199,Vivek,34368.00,D
E200,Rahul,85743.00,B
